line_no	category	name_zh	prompt_raw
1	综合1	比基尼	bikini
2	综合1	系绳比基尼	string bikini
3	综合1	前系带比基尼上装	front-tie bikini top
4	综合1	侧系带比基尼下装	side-tie bikini bottom
5	综合1	微小比基尼	micro bikini
6	综合1	泳装	swimsuit
7	综合1	连体泳衣	one-piece swimsuit
8	综合1	学校泳衣	school swimsuit
9	综合1	竞赛泳衣	competition swimsuit
10	综合1	运动服	sportswear
11	综合1	排球服	volleyball uniform
12	综合1	旗袍	china dress
13	综合1	水手服	serafuku
14	综合1	校服	school uniform
15	综合1	布鲁玛	buruma
16	综合1	高领衬衫	collared shirt
17	综合1	紧身衣	leotard
18	综合1	无肩带紧身衣	strapless leotard
19	综合1	高叉紧身衣	highleg leotard
20	综合1	丁字紧身衣	thong leotard
21	综合1	衣服下紧身衣	leotard under clothes
22	综合1	紧身衣服	taut clothes
23	综合1	紧身衬衫	taut shirt
24	综合1	薄纱连衣裙	sheer tulle dress
25	综合1	雪纺连衣裙	chiffon dress
26	综合1	紧身衣裤	bodysuit
27	综合1	背心	tank top
28	综合1	连身裙	dress
29	综合1	露背连身裙	backless dress
30	综合1	绕颈连身裙	halter dress
31	综合1	毛衣连身裙	sweater dress
32	综合1	露背装	backless outfit
33	综合1	毛衣	sweater
34	综合1	高领毛衣	turtleneck sweater
35	综合1	罗纹毛衣	ribbed sweater
36	综合1	露肩毛衣	off-shoulder sweater
37	综合1	心型切口	heart cutout
38	综合1	后背切口	back cutout
39	综合1	下胸切口	underboob cutout
40	综合1	小可爱露腹短上衣	crop top
41	综合1	赛车服(By KimZuo)	racing suit
42	综合1	护士服(By Yao_men)	nurse
43	综合1	乳胶紧身衣(By Yao_men)	latex
44	综合1	白大褂(By Yao_men)	lab_coat
45	综合1	便利店工作服(By 糯米)	convenience store uniforms
46	综合1	夏日长裙	summer long skirt
47	综合1	西装	business suit
48	综合1	浴衣	yukata
49	综合1	圣诞装	santa
50	综合1	哥特洛丽塔风格	gothic_lolita
51	综合1	马猴烧酒风格	mahou shoujo
52	综合2	女仆装	Maid dress
53	综合2	西服(black黑)-by bilibili-跑酷	black suit
54	综合2	啦啦隊	cheerleading
55	综合2	迷你比基尼	micro bikini
56	综合2	頸帶	neck ribbon
57	综合2	无胸罩	no_bra
58	综合2	兜帽斗篷	Cape hood
59	综合2	修女服	nun gown
60	综合2	军装	military uniform
61	综合2	汉服	hanfu
62	综合2	破损的衣物	torn clothes
63	综合2	婚纱	wedding_dress
64	综合2	黑色礼服	black skirt dress, flower pattern in dress,black gown
65	综合2	披风	cloak
66	综合2	白色风衣	white_windbreaker
67	综合2	风衣	wind coat
68	综合2	奶牛比基尼	cow_bikini
69	综合2	露背毛衣	Open-backed sweater
70	综合2	曬痕	tan line
71	综合2	运动制服	gym_uniform
72	综合2	晚礼服	evening dress
73	综合2	礼服	full dress
74	综合2	战斗服	combat suit
75	综合2	小披风	poncho
76	综合2	实验袍	lab coat
77	综合2	学校制服	school_uniform
78	综合2	甜美可爱的洛丽塔	sweet_lolita
79	综合2	网纹衣	fishnet top
80	综合2	魔女风格服	Witch dress
81	综合2	巫女服	Miko clothing
82	综合2	无裆内裤	crotchless panties
83	综合2	大衣	overcoat
84	综合2	湿润的衣服	wet clothes
85	综合2	长袍	robe
86	综合2	战壕风衣	trench_coat
87	综合2	抹胸	strapless tank top, navel cutout
88	综合2	派克大衣	parka
89	综合2	洛丽塔风格	lolita_fashion
90	综合2	无内衣	no underwear
